65,46
74,54
170,130
202,155
206,159
206,159
215,164
246,187
255,194
255,194
257,195
276,207
276,207
276,207
273,206
336,254
352,266
362,273
371,282
374,285
376,287
377,288
396,301
400,305
405,309
433,328
434,329
433,328
441,334
468,354
471,356
471,356
471,356
500,377
505,382
513,389
535,406
535,406
562,423
564,425
564,425
564,425
578,437
594,450
600,455
601,456
615,467
618,470
624,475
628,479
639,488
648,495
646,493
654,500
654,500
669,513
669,513
676,517
704,540
704,540
704,540
711,545
741,566
755,577
797,613
803,618
803,618
806,621
806,621
806,621
810,625
806,621
822,636
822,636
822,636
830,642
829,641
830,642
830,642
832,644
828,640
846,658
864,668
859,664
883,682
883,682
873,674
878,679
878,679
903,696
905,697
905,697
929,717
927,715
925,713
927,715
925,713
925,713
927,715
927,715
932,718
932,718
932,718
938,721
950,729
950,729
956,734
965,742
1006,772
1001,769
1001,769
1006,772
1005,771
1006,772
1020,782
1020,782
1029,789
1027,788
1027,788
1026,787
1026,787
1046,802
1046,802
1046,802
1073,822
1073,822
1073,822
1073,822
1073,822
1065,816
1085,831
1085,831
1085,831
1085,831
1082,829
1088,833
1088,833
1101,841
1101,841
1090,835
1094,838
1101,841
1108,848
1108,848
1113,853
1113,853
1115,854
1125,859
1125,859
1115,854
1125,859
1125,859
1125,859
1125,859
1125,859
1125,859
1125,859
1125,859
1131,862
1131,862
1141,870
1151,877
1165,884
1165,884
1165,884
1165,884
1158,881
1158,881
1165,884
1173,891
1173,891
1173,891
1173,891
1173,891
1173,891
1178,896
1180,898
1180,898
1180,898
1192,906
1192,906
1198,912
1203,915
1203,915
1203,915
1205,917
1205,917
1205,917
1206,918
1206,918
1206,918
1206,918
1227,935
1227,935
1227,935
1227,935
1221,929
1227,935
1227,935
1227,935
1241,946
1242,947
1242,947
1242,947
1251,954
1251,954
1254,956
1254,956
1254,956
1261,961
1261,961
1270,969
1285,979
1285,979
1285,979
1285,979
1293,985
1300,991
1300,991
1304,995
1304,995
1304,995
1304,995
1304,995
1304,995
1318,1007
1318,1007
1353,1035
1354,1036
1346,1031
1346,1031
1346,1031
1346,1031
1346,1031
1346,1031
1346,1031
1346,1031
1359,1040
1377,1055
1377,1055
1396,1070
1393,1067
1393,1067
1393,1067
1393,1067
1427,1093
1427,1093
1417,1086
1431,1096
1440,1103
1458,1117
1438,1101
1438,1101
1438,1101
1458,1117
1458,1117
1459,1118
1459,1118
1449,1112
1470,1128
1470,1128
1466,1124
1466,1124
1469,1127
1474,1132
1474,1132
1469,1127
1474,1132
1474,1132
1474,1132
1474,1132
1474,1132
1474,1132
1474,1132
1474,1132
1474,1132
1492,1147
1510,1162
1510,1162
1510,1162
1510,1162
1510,1162
1510,1162
1510,1162
1517,1167
1518,1168
1521,1170
1521,1170
1539,1181
1539,1181
1528,1174
1539,1181
1528,1174
1535,1178
1535,1178
1535,1178
1550,1192
1550,1192
1550,1192
1550,1192
1540,1182
1557,1197
1557,1197
1556,1196
1556,1196
1555,1195
1558,1198
1555,1195
1555,1195
1555,1195
1555,1195
1555,1195
1555,1195
1553,1193
1565,1204
1560,1199
1560,1199
1560,1199
1568,1207
1568,1207
1568,1207
1581,1219
1581,1219
1581,1219
1581,1219
1583,1221
1575,1213
1575,1213
1575,1213
1583,1221
1583,1221
1575,1213
1575,1213
1575,1213
1575,1213
1587,1223
